concept,meaning,category,fullName
역할기반 접근 통제,"사용자의 역할에 따라 접근 권한을 부여하는 방식, 중앙 관리자가 접근 통제 권한을 갖는다. 다중 프로그래밍 환경에 최적화된 방식",데이터베이스 보안,RBAC(Role Based Access Control)
벨 라파듈라 모델,"군대의 보안 레벨처럼 정보의 기밀성에 따라 상하 관계가 구분된 정보를 보호하기 위해 사용함. 보안 취급자 등급 기준으로 읽기 권한과 쓰기 권한이 제한됨, 보안 레벨 2급 취급자 : 2, 3급의 문서 조회 가능, 1, 2급의 문서 작성 가능",데이터베이스 보안,Bell-LaPadula Model
비바 무결성 모델,"벨 라파듈라 모델을 보완한 수학적 모델로, 무결성을 보장하는 최초의 모델, 비인가자에 의한 데이터 변형을 방지함",데이터베이스 보안,Biba Integrity Model
클락-윌슨 무결성 모델,"무결성 중심의 상업용 모델로, 사용자가 직접 객체에 접근할 수 없고 프로그램에 의해 접근이 가능한 보안 모델",데이터베이스 보안,Clark-Wilson Integrity Model
만리장성 모델,서로 이해 충돌 관계에 있는 객체 간의 정보 접근을 통제하는 모델,데이터베이스 보안,Chines Wall model
접근통제 정책,"어떤 주체가 언제, 어디서, 어떤 객체에게, 어떤 행위에 대한 허용 여부를 정의하는 것으로, 신분 기반 정책, 규칙 기반, 역할 기반 정책이 있다.",데이터베이스 보안,
신분 기반 정책,"주체나 그룹의 신분에 근거하여 객체의 접근을 제한하는 방법으로, IBP, GBP가 있다.",데이터베이스 보안,
IBP,"최소 권한 정책으로, 단일 주체에게 하나의 객체에 대한 허가를 부여한다.",데이터베이스 보안,Individual-Based Policy
GBP,복수 주체에 하나의 객체에 대한 허가를 부여한다.,데이터베이스 보안,Group-Based Policy
규칙 기반 정책,"주체가 갖는 권한에 근거하여 객체의 접근을 제한하는 방법으로, MLP, CBP가 있다.",데이터베이스 보안,
MLP,사용자 및 객체별로 지정된 기밀 분류에 따른 정책,데이터베이스 보안,Multi-Level Policy
CBP,집단별로 지정된 기밀 허가에 따른 정책,데이터베이스 보안,Compartment-Based Policy
역할 기반 정책,"GBP의 변형된 정책으로, 주체의 신분이 아니라 주체가 맡은 역할에 근거하여 객체의 접근을 제한하는 방법",데이터베이스 보안,
접근 통제 목록,객체를 기준으로 특정 객체에 대해 어떤 주체가 어떤 행위를 할 수 있는지를 기록한 목록,데이터베이스 보안,Access control List
능력 리스트,주체를 기준으로 주체에게 허가된 자원 및 권한을 기술한 목록,데이터베이스 보안,Capability List
보안 등급,"주체나 객체 등에 부여된 보안 속성의 집합으로, 이 등급을 기반으로 접근 승인 여부가 결정된다",데이터베이스 보안,Security Level
패스워드,주체가 자신임을 증명할 때 사용하는 인증 방법이다,데이터베이스 보안,
암호화,"데이터를 보낼 때 지정된 수신자 이외에는 내용을 알 수 없도록 평문을 암호문으로 변환하는 것으로, 무단 도용을 방지하기 위해 사용됨",데이터베이스 보안,
접근통제 보안 모델,"보안 정책을 구현하기 위한 정형화된 모델로, 기밀성 모델, 무결성 모델, 접근통제 모델이 있다.",데이터베이스 보안,
기밀성 모델,"군사적인 목적으로 개발된 최초의 수학적 모델로, 기밀성 보장이 최우선적인 모델이다.",데이터베이스 보안,Confidentiality
단순 보안 규칙,주체는 자신보다 높은 등급의 객체를 읽을 수 없다는 기밀성 모델 제약 조건,데이터베이스 보안,
스타 보안 규칙,주체는 자신보다 낮은 등급의 객체에 정보를 쓸 수 없다는 기밀성 모델 제약 조건,데이터베이스 보안,
강한 스타 보안 규칙,주체는 자신과 등급이 다른 객체를 읽거나 쓸 수 없다.,데이터베이스 보안,
무결성 모델,"기밀성 모델에서 발생하는 불법적인 정보 변경을 방지하기 위해 ___을 기반으로 개발된 모델, 데이터의 일관성 유지에 중점을 두어 개발되었다. 기밀성 모델과 동일하게 주체 및 객체의 보안등급을 기반으로 함",데이터베이스 보안,
단순 무결성 규칙,주체는 자신보다 낮은 등급의 객체를 읽을 수 없다.,데이터베이스 보안,
스타 무결성 규칙,주체는 자신보다 높은 등급의 객체에 정보를 쓸 수 없다.,데이터베이스 보안,
접근 통제 모델,"접근통제 메커니즘을 보안 모델로 발전시킨 것으로, 대표적으로 접근 통제 행렬이 있다.",데이터베이스 보안,
접근통제 행렬,"임의적인 접근통제를 관리하기 위한 보안 모델로, 행은 주체, 열은 객체, 행과 열로 주체와 객체에 권한 유형을 나타낸 것",데이터베이스 보안,Access Control Matrix
접근통제 조건,접근통제 매커니즘의 취약점을 보완하기 위해 접근통제 정책에 부가하여 적용할 수 있는 조건이다.,데이터베이스 보안,
값 종속 통제,"일반적으로 객체에 저장된 값에 상관없이 접근 통제를 동일하게 허용하지만, 객체에 저장된 값에 따라 다르게 접근 통제를 허용해야하는 경우에 사용함",데이터베이스 보안,Value-Dependent Control
다중 사용자 통제,지정된 객체에 다수의 사용자가 동시에 접근을 요구하는 경우 사용한다.,데이터베이스 보안,Multi-User Control
컨텍스트 기반 통제,"특정 시간, 네트워크 주소, 접근 경로, 인증 수준 등에 근거하여 접근을 제어하는 방법으로, 다른 보안 정책과 결합하여 보안 시스템의 취약점을 보완할 때 사용된다.",데이터베이스 보안,Context-Based Control
감사 추적,"사용자나 애플리케이션이 데이터베이스에 접근하여 수행한 모든 활동을 기록하는 기능, 오류가 발생한 데이터베이스를 복구하거나 부적절한 데이터 조작을 파악하기 위해 사용한다. 감사 추적시 실행한 프로그램, 사용자, 날짜 시간, 변경 이전 이후 값 등이 저장된다.",데이터베이스 보안,
데이터베이스 백업,"전산 장비의 장애에 대비하여 데이터베이스에 저장된 데이터를 보호하고 복구하기 위한 작업으로, 치명적인 데이터 손실을 막기 위해서는 데이터베이스에 __ 를 정기적으로 수행해야한다.",데이터베이스 백업,
사용자 실수,실수로 인해 테이블이 삭제되거나 잘못된 트랜잭션이 처리된 데이터베이스 장애 유형,데이터베이스 백업,
미디어 장애,"CPU, 메모리, 디스크 등 하드웨어 장애나 데이터가 파손된 데이터베이스 장애 유형",데이터베이스 백업,
구문 장애,프로그램 오류나 사용 공간의 부족으로 인해 발생하는 데이터베이스 장애 유형,데이터베이스 백업,
사용자 프로세스 장애,프로그램이 비정상적으로 종료되거나 네트워크 이상으로 세션이 종료되어 발생하는 데이터베이스 장애 유형,데이터베이스 백업,
인스턴스 장애,"하드웨어 장애, 정전, 시스템 파일 파손 등 비정상적인 요인으로 인해 메모리나 데이터베이스 서버의 프로세스가 중단되는 데이터베이스 장애 유형",데이터베이스 백업,
로그 파일,"데이터베이스의 처리 내용이나 이용 상황 등 상태 변화를 시간에 흐름에 따라 기록한 파일로, 데이터베이스의 복구를 위해 필요한 가장 기본적인 자료",데이터베이스 백업,
로그 파일 내용,"트랜잭션이 작업한 모든 내용, 트랜잭션 식별, 트랜잭션 레코드, 데이터 식별자, 갱신 이전 값, 갱신 이후 값 등",데이터베이스 백업,
데이터베이스 복구 알고리즘,데이터베이스를 장애 이전 상태로 복구하기 위해 사용하는 알고리즘으로 동기적/비동기적 갱신에 따라 구분된다.,데이터베이스 백업,
NO-UNDO/REDO,데이터베이스 버퍼의 내용을 비동기적으로 갱신한 경우 복구 알고리즘,데이터베이스 백업,
UNDO/NO-REDO,데이터베이스 버퍼의 내용을 동기적으로 갱신한 경우 복구 알고리즘,데이터베이스 백업,
UNDO/REDO,"데이터베이스 버퍼의 내용을 동기/비동기적으로 갱신한 경우의 알고리즘, 데이터베이스 기록 전에 트랜잭션이 완료될 수 있으므로 완료된 트랜잭션이 데이터베이스에 기록되지 못했다면 다시 실행해야한다. ",데이터베이스 백업,
NO-UNDO/NO-REDO,데이터베이스 버퍼의 내용을 동기적으로 저장 매체에 기록하지만 데이터베이스와는 다른 영역에 기록한 경우의 복구 알고리즘,데이터베이스 백업,
물리 백업,"데이터베이스 파일을 백업하는 방법으로, 백업 속도가 빠르고 작업이 단순하지만, 문제 발생 시 원인 파악 및 해결이 어렵다",데이터베이스 백업,
논리 백업,"DB 내의 논리적 객체들을 백업하는 방법으로, 복원 시 데이터 손상을 막고 문제 발생 시 원인 파악 및 해결이 수월하지만, 백업/복원 시 시간이 많이 소요된다.",데이터베이스 백업,
동기적 갱신,트랜잭션이 완료되기 전에 데이터베이스 버퍼 내용을 동시적으로 저장매체에 기록하는 것,데이터베이스 백업,
비동기적 갱신,트랜잭션이 완료된 내용을 일정 주기나 작업량에 따라 시간 차이를 두고 저장매체에 기록하는 것,데이터베이스 백업,
스토리지,단일 디스크로 처리할 수 없는 대용량의 데이터를 저장하기 위해 서버와 저장장치를 연결하는 기술,스토리지,
DAS,서버와 저장장치를 전용 케이블로 직접 연결하는 방식으로 일반 가정에서 외장하드를 연결하는 방식,스토리지,Direct Attached Storage
NAS,"서버와 저장장치를 네트워크를 통해 연결하는 방식, Ethernet 스위치를 통해 다른 서버에서도 스토리지에 접근할 수 있어 파일 공유가 가능하고, 장소에 구애받지 않고 저장장치에 쉽게 접근할 수 있다.",스토리지,Network Attached Storage
SAN,DAS의 빠른 처리와 NAS의 파일 공유 장점을 혼합한 방식으로 서버와 저장장치를 연결하는 전용 네트워크를 별도로 구성하는 방식이다. 저장장치를 공유함으로써 어러 개의 저장장치나 백업 장비를 단일화 시킬 수 있다.,스토리지,Storage Area Network
광 채널,컴퓨터 장치 간 데이터의 전송 속도를 기가바이트로 높이기 위한 네트워크 기술,스토리지,FC(Fiber Channel)
테이블,"데이터를 저장하는 데이터베이스의 가장 기본적인 오브젝트로, 컬럼과 로우로 구성됨",논리 데이터 모델의 물리 데이터 모델 변환,
엔티티의 변환,"논리 데이터 모델에서 정의된 ___를 물리 데이터 모델의 테이블로 변환하는 것, 테이블 목록 정의서를 작성한다",논리 데이터 모델의 물리 데이터 모델 변환,
테이블 목록 정의서,"전체 테이블을 목록으로 요약 관리하는 문서로, 테이블 목록이라고도 한다.",논리 데이터 모델의 물리 데이터 모델 변환,
슈퍼타입/서브타입 변환,"논리 데이터 모델에서 이용되는 형태로 물리 데이터 모델로 설계할 때는 테이블로 변환해야한다. 슈퍼타입 기준 변환, 서브타입 기준 변환, 개별 타입 기준 변환이 있다",논리 데이터 모델의 물리 데이터 모델 변환,
슈퍼타입 기준 변환,"서브타입을 슈퍼타입에 통합하여 하나의 테이블로 만드는 것, 서브 속성이나 관계가 적을 때 사용하는 방법",논리 데이터 모델의 물리 데이터 모델 변환,
서브타입 기준 변환,슈퍼타입 속성들을 각각의 서브타입에 추가하여 서브타입 개별적인 테이블로 만드는 것,논리 데이터 모델의 물리 데이터 모델 변환,
개별타입 기준 변환,"슈퍼타입과 서브타입들을 각각의 개별적인 테이블로 변환한다. 저장공간이 상대적으로 적으나, 조인이 많아질 수 있다.",논리 데이터 모델의 물리 데이터 모델 변환,
속성을 컬럼으로 변환,"논리 데이터 모델에서 정의한 속성을 물리 데이터 모델의 컬럼으로 변환하는 것, 일반 속성 변환, Primary UID, Secondary UID 변환 등이 있다.",논리 데이터 모델의 물리 데이터 모델 변환,
일반 속성 변환,속성과 컬럼은 명칭이 반드시 일치할 필요는 없으나 표준화된 약어를 사용하는 것이 좋다. 예약어 사용을 피한다.,논리 데이터 모델의 물리 데이터 모델 변환,
Primary UID 를 기본키로 변환,논리 데이터 모델에서의___는 물리 데이터 모델의 기본키로 만든다,논리 데이터 모델의 물리 데이터 모델 변환,Primary Uniqque Identifier
Primary UID(관계의 UID Bar) 를 기본키로 변환,다른 엔티티와의 관계로 인해 생성된 Primary UID는 물리 데이터 모델의 기본키로 만든다,논리 데이터 모델의 물리 데이터 모델 변환,
UID Bar,엔티티에 포함된 고유한 속성의 식별자가 아니라 다른 엔티티와의 관계로 인해 생성된 식별자 UID 를 의미함,논리 데이터 모델의 물리 데이터 모델 변환,
Secondary UID를 유니크키로 변환,논리 모델링에서 정의된 Secondary UID 및 Alternate Key는 물리 모델에서 유니크 키로 만든다.,논리 데이터 모델의 물리 데이터 모델 변환,
관계를 외래키로 변환,논리 데이터 모델에서 정의된 관계는 기본키와 이를 참조하는 외래키로 변환한다.,논리 데이터 모델의 물리 데이터 모델 변환,
1:1관계,개체 A의 기본키를 개체 B의 외래키로 추가하거나 개체 B의 기본키를 개체 A의 외래키로 추가하여 표현함,논리 데이터 모델의 물리 데이터 모델 변환,
1:N 관계,개체 A의 기본키를 개체 B의 외래키로 추가하여 표현하거나 별도의 테이블로 표현한다,논리 데이터 모델의 물리 데이터 모델 변환,
N:M 관계,릴레이션 A와 B의 기본키를 모두 포함한 별도의 릴레이션으로 표현한다. 이때 생성된 별도의 릴레이션을 교차 릴레이션 또는 교차 엔티티라고 한다.,논리 데이터 모델의 물리 데이터 모델 변환,
1:M 순환 관계,개체 A에서 개체 A의 기본키를 참조하는 외래키 컬럼을 추가하여 표현한다. 데이터 계층 구조를 표현하기 위해 주로 사용함,논리 데이터 모델의 물리 데이터 모델 변환,
관리 목적의 테이블,논리 데이터 모델에는 존재하지 않는 테이블이나 컬럼을 관리 혹은 이용하는 프로그래밍의 수행 속도를 향상시키기 위해 물리 데이터 모델에 추가할 수 있다.,논리 데이터 모델의 물리 데이터 모델 변환,
데이터 타입 선택,논리 데이터 모델에서 정의된 논리적인 데이터 타입을 물리적인 DBMS의 물리적 특성과 성능을 고려하여 최적의 데이터 타입과 데이터의 최대 길이를 선택한다.,논리 데이터 모델의 물리 데이터 모델 변환,
물리 데이터 품질 검토,물리 데이터 모델을 설계하고 데이터베이스 객체를 생성한 후 개발 단계로 넘어가기 전에 모델러와 이해관계자들이 모여 수행한다. 검토 항목에 따라 체크리스트 작성하여 평가함,물리 데이터 모델 품질 검토,
정확성,"데이터 모델이 요구사항이나 업무 규칙, 표기법에 따라 정확하게 표현되었음을 의미하는 물리 데이터 모델 품질 기준이다",물리 데이터 모델 품질 검토,
완전성,데이터 모델이 데이터 모델의 구성 요소를 누락 없이 정의하고 요구사항이나 업무 영역을 누락 없이 반영하였음을 의미하는 물리 데이터 모델 품질 기준이다,물리 데이터 모델 품질 검토,
준거성,"데이터 모델이 데이터 표준, 표준화 규칙, 법적 요건 등을 정확하게 준수하였음을 의미하는 물리 데이터 모델 품질 기준이다",물리 데이터 모델 품질 검토,
최신성,데이터 모델이 최근의 이슈나 현행 시스템을 반영하고 있음을 의미하는 물리 데이터 모델 품질 기준이다,물리 데이터 모델 품질 검토,
일관성,데이터 모델이 표현상의 일관성을 유지하고 있음을 나타내는 물리 데이터 모델 품질 기준이다,물리 데이터 모델 품질 검토,
활용성,작성된 모델과 설명을 사용자가 충분히 이해할 수 있고 업무 변화에 따른 데이터 구조의 변경이 최소화 될 수 있도록 설계되었음을 의미하는 물리 데이터 모델 품질 기준이다,물리 데이터 모델 품질 검토,
SQL,"1974년 IBM 연구소 SEQUEL에서 유래, 국제 표준 데이터베이스 언어, 관계 대수와 관계 해석을 기초로 한 혼합 데이터 언어, 질의어이지만 데이터 구조, 정의, 조작, 제어 등의 기능을 모두 갖추고 있음",SQL 개념,
DDL,"SCHEMA, DOMAIN, TABLE, VIEW, INDEX를 정의하거나 변경 또는 삭제할 때 사용하는 언어",SQL 개념,Data Define Language
CREATE,"SCHEMA, DOMAIN, TABLE, VIEW, INDEX 정의",SQL 개념,
ALTER,TABLE에 대한 정의를 변경하는데 사용한다,SQL 개념,
DROP,"SCHEMA, DOMAIN, TABLE, VIEW, INDEX를 삭제한다",SQL 개념,
DML,데이터베이스 사용자가 응용 프로그램이나 질의어를 통해 저장된 데이터를 실질적으로 처리하는데 사용되는 언어,SQL 개념,Data Manipulation Language
SELECT,테이블에서 조건에 맞는 튜플을 검색한다,SQL 개념,
INSERT,테이블에 새로운 튜플을 삽입한다.,SQL 개념,
DELETE,테이블에서 조건에 맞는 튜플을 삭제한다,SQL 개념,
UPDATE,테이블에서 조건에 맞는 튜플의 내용을 변경한다.,SQL 개념,
DCL,"데이터의 보안, 무결성, 회복, 병행 수행 제어 등을 정의하는데 사용되는 언어",SQL 개념,Data Control Language
COMMIT,"명령에 의해 수행된 결과를 실제 물리적 디스크로 저장하고, 데이터베이스 조작 작업이 정상적으로 완료되었음을 관리자에게 알려준다",SQL 개념,
ROLLBACK,데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래의 상태로 복귀한다.,SQL 개념,
GRANT,데이터베이스 사용자에게 사용 권한을 부여한다,SQL 개념,
REVOKE,데이터베이스 사용자에게 사용 권한을 취소한다.,SQL 개념,
Schema,"데이터베이스의 구조아 제약 조건에 관한 전반적인 명세의 기술한 것으로 데이터 개체, 속성, 관계 및 데이터 조작 시 데이터 값들이 갖는 제약 조건 등에 관해 전반적으로 정의한 것",SQL 개념,
Domain,하나의 속성이 취할 수 있는 동일한 유형의 원자값들의 집합을 의미함.,SQL 개념,
Cascade 법칙,"참조 무결성 제약이 설정된 기본 테이블의 어떤 데이터를 삭제할 경우, 그 데이터와 밀접하게 연관되어 있는 다른 테이블의 데이터들도 도미노처럼 자동으로 삭제되는 규칙",SQL 개념,
SAVEPOINT,트랜잭션 내에 ROLLBACK 할 위치인 저장점을 지칭하는 명령어,SQL 개념,
ROLLBACK,아직 COMMIT되지 않은 변경된 모든 내용들을 취소하고 데이터베이스를 이전 상태로 되돌리는 명령어,SQL 개념,
PREDICATE,"불러올 튜플 수를 제한할 명령어를 기술하는 자리로서, ALL, DISTINCT, DISTINCTROW 가 있다.",SQL 개념,
그룹함수,"GROUP BY 절에 지정된 그룹별로 속성의 값을 집계할 함수를 기술한다. COUNT, SUM, AVG, MAX, MIN, STDDEV, VARIANCE, ROLLUP, CUBE 가 있다.",SQL 개념,
WINDOW 함수,"GROUP BY 절을 이용하지 않고 속성의 값을 집계할 함수를 기술한다. ROW_NUMBER(), RANK(), DENSE_RANK() 가 있다.",SQL 개념,
UNION,"두 SELECT 문의 조회 결과를 통합하여 모두 출력하되, 중복된 행은 한번만 출력한다.",SQL 개념,
UNION ALL,"두 SELECT 문의 조회 결과를 통합하여 모두 출력하되, 중복된 행도 그대로 출력한다",SQL 개념,
INTERSECT,두 SELECT 문의 조회 결과 중 공통된 행만 출력한다,SQL 개념,
EXCEPT,첫번째 SELECT 문의 조회 결과에서 두 번째 SELECT 문의 조회 결과를 제외한 행을 출력한다.,SQL 개념,
CROSS JOIN,"조인하는 두 테이블에 있는 튜플들의 순서쌍을 결과로 반환, 반환되는 테이블의 행의 수는 두 테이블 행의 수의 곱",SQL 개념,
INNER JOIN,"일반적으로 EQUI JOIN 과 NON-EQUI JOIN으로 구분함, 조건이 없는 ___ 는 CROSS JOIN과 동일하다",SQL 개념,
EQUI JOIN,JOIN 대상 테이블에서 공통 속성을 기준으로 equal 비교에 의해 같은 값을 가지는 행을 연결하여 결과를 생성하는 JOIN 방식,SQL 개념,
NON-EQU JOIN,equal 비교가 아닌 비교 연산자를 사용하는 JOIN 방식,SQL 개념,
OUTER JOIN,릴레이션에서 JOIN 조건을 만족하지 않는 튜플도 결과로 출력하기 위한 JOIN 방법,SQL 개념,
LEFT OUTER JOIN,"INNER JOIN 의 결과를 구한 후, 우측 항 릴레이션의 어떤 튜플과도 맞지 않는 좌측 항의 릴레이션에 있는 튜플들에 NULL 값을 붙여서 INNER JOIN의 결과에 추가한 것",SQL 개념,
RIGHT OUTER JOIN,"INNER JOIN 의 결과를 구한 후, 좌측 항 릴레이션의 어떤 튜플과도 맞지 않는 우측 항의 릴레이션에 있는 튜플들에 NULL 값을 붙여서 INNER JOIN의 결과에 추가한 것",SQL 개념,
FULL OUTER JOIN,LEFT OUTER JOIN과 RIGHT OUTER JOIN 을 합쳐 놓은 것,SQL 개념,
SELF JOIN,같은 테이블에서 2개의 속성을 연결하여 EQUI JOIN을 하는 방법,SQL 개념,
프로시저,"절차형 SQL을 활용하여 특정 기능을 수행하는 일종의 트랜잭션 언어로, 호출을 통해 실행되어 미리 저장해 놓은 SQL 작업을 수행한다. 데이터베이스에 저장되어 수행되기 때문에 스토어드 프로시저라고도 함. 일괄 작업 등에 주로 사용",SQL 활용,
DECLARE,"프로시저의 명칭, 변수, 인수, 데이터 타입을 정의하는 선언부",SQL 활용,
BEGIN - END,프로시저의 시작과 종료를 의미함,SQL 활용,
CONTROL,조건문 또는 반복문이 삽입되어 순차적으로 처리된다.,SQL 활용,
SQL,"DML, DCL이 삽입되어 데이터 관리를 위한 조회, 추가, 수정, 삭제 작업을 수행한다.",SQL 활용,
EXCEPTION,BEGIN~END 안의 구문 실행 시 예외가 발생하면 이를 처리하는 방법을 정의한다.,SQL 활용,
TRANSACTION,수행된 데이터 작업들을 DB에 적응할지 취소할지 결정하는 처리부이다.,SQL 활용,
OR REPLACE,이 예약어를 사용할 경우 동일한 프로시저 이름이 이미 존재하는 경우 기존의 프로시저를 대체할 수 있다.,SQL 활용,
EXECUTE,프로시저를 실행시키기 위해 호출하는 명령어로 EXEC 또는 CALL 이라고도함,SQL 활용,
TRIGGER,"데이터베이스 시스템에서 데이터의 삽입, 갱신, 삭제 등의 이벤트가 발생할 때마다 관련 작업이 자동으로 수행되는 절차형 SQL 이다. DDL, DML만 사용가능",SQL 활용,
DBMS 접속,사용자가 데이터를 사용하기 위해 응용 시스템을 이용하여 DBMS에 접근하는 것을 의미한다. ,DBMS 접속 기술,
NVL 함수,"A가 NULL인 경우 B를 반환하고, 아니면 A를 반환하는 함수로, 동적 SQL에서 원하는 조건에 따라 NVL함수 없이 SQL문 구성 가능하다",DBMS 접속 기술,
동적 SQL,"개발 언어에 삽입되는 SQL 코드를 문자열 변수에 넣어 처리하는 것으로, 조건에 따라 SQL 구문을 동적으로 변경하여 처리할 수 있다.",DBMS 접속 기술,
SQL 테스트,"SQL이 작성 의도에 맞게 원하는 기능을 수행하는지 검증하는 과정, 테스트 전에 생성을 통해 구문 오류나 참조 오류의 존재 여부를 확인한다.",SQL 테스트,
TCL,"트랜잭션을 제어하는 COMMIT, ROLLBACK, SAVEPOINT 명령을 가리키는 용어",SQL 테스트,Transaction Control Language
DESC,개체의 정보를 확인할 때 사용하는 명령어,SQL 테스트,Describe
ORM,객체지향 프로그래밍의 객체와 관계형 데이터베이스의 데이터를 연결하는 기술을 의미한다,객체지향 데이터베이스,Object-Relational Mapping
쿼리 성능 최적화,"데이터 입출력 애플리케이션의 성능 향상을 위해 SQL 코드와 인덱스를 최적화 하는 것, APM을 사용하고, 옵티마이저가 수립한 실행 계획을 검토할 수 있다.",쿼리 성능 최적화,
APM,"애플리케이션의 성능 관리를 위해 접속자, 자원 현황, 트랜잭션 수행 내역, 장애 진단 등 다양한 모니터링 기능을 가진 도구, 리소스 방식(Nagios, Zabbix, Cacti), 엔드투엔드(VisualVM, Jenifer, Scouter) 있다.",쿼리 성능 최적화,
Optimizer,작성된 SQL이 가장 효율적으로 수행되도록 최적의 경로를 찾아주는 모듈로 실무에서는 주로 CBO가 사용됨,쿼리 성능 최적화,
RBO,규칙 기반 옵티마이저 개발자의 SQL 숙련도에 따라 성능 결정,쿼리 성능 최적화,
CBO,"비용 기반 옵티마이저, 옵티마이저의 예측 성능에 따라 엑세스 비용을 산정해줌",쿼리 성능 최적화,
Execution Plan,"DBMS의 옵티마이저가 수립한 SQL 코드의 실행 절차와 방법을 의미한다. EXPLAIN 명령어로 확인 가능하고, 그래픽이나 텍스트로 표현됨",쿼리 성능 최적화,
데이터 전환,운영 중인 기존 정보시스템에 축적되어 있는 데이터를 추출하여 새로 개발할 정보 시스템에 운영 가능하도록 변환한 후 적재하는 일련의 과정을 의미한다.,데이터 전환,Data Migration
데이터 전환 계획서,데이터 전환이 필요한 대상을 분석하여 데이터 전환 작업에 필요한 모든 계획을 기록하는 문서이다,데이터 전환,
데이터 전환 대상 및 범위,"단위 업무별로 데이터 전환 대상 정보, 해당 업무에 사용되는 Table 수, 데이터 크기를 기술한다.",데이터 전환,
데이터 전환 환경 구성,"원천 시스템과 목적 시스템의 구성도, 전환 단계별 DISK 사용량을 기술한다.",데이터 전환,
데이터 정제 요청서,원천 데이터의 정제와 전환 프로그램의 수정을 위해 요청사항 및 조치사항 등 데이터 정제와 관련된 전반적인 내용을 문서로 작성한 것,데이터 전환,
소프트웨어 개발 방법론,소프트웨어의 생산성과 품질 향상을 목적으로 필요한 각종 기법 및 도구를 체계적으로 정리하여 표준화한 것,소프트웨어 개발 방법론,
구조적 방법론,"정형화된 분석 절차에 따라 사용자 요구사항을 파악하여 문서화하는 처리 중심의 방법론, 복잡한 문제를 다루기 위해 분할 정복 원리를 적용한다",소프트웨어 개발 방법론,
정보공학 방법론,"계획, 분석, 설계, 구축에 정형화된 기법들을 상호 연관성 있게 통합 및 적용하는 자료 중심의 방법론이다, 정보 시스템 개발 주기를 이용하여 대규모 정보 시스템을 구축하는데 적합하다. 데이터 모델링으로 E-R Diagram을 사용한다",소프트웨어 개발 방법론,
객체지향 방법론,"현실 세계의 개체를 기계의 부품처럼 하나의 객체로 만들어, 소프트웨어를 개발할 때 기계의 부품을 조립하듯이 객체들을 조립해서 필요한 소프트웨어를 구현하는 방법론이다.",소프트웨어 개발 방법론,
컴포넌트 기반 방법론,기존의 시스템이나 소프트웨어를 구성하는 컴포넌트를 조합하여 하나의 새로운 애플리케이션을 만드는 방법론이다. 재사용이 가능하여 시간과 노력을 절감할 수 있다. 새로운 기능을 추가하는 것이 간단하여 확장성이 보장된다.,소프트웨어 개발 방법론,
애자일 방법론,고객의 요구사항 변화에 유연하게 대응할 수 있도록 일정한 주기를 반복하면서 개발 과정을 진행하는 방법론이다.,소프트웨어 개발 방법론,
사용자 스토리,사용자의 요구사항,소프트웨어 개발 방법론,
임베디드 소프트웨어,"디지털 TV, 전기밥솥, 냉장고, PDA 등 해당 제품의 특정 기능에 맞게 특화되어서 제품 자체에 포함된 소프트웨어",소프트웨어 개발 방법론,
소프트웨어 재사용,"이미 개발되어 인정받은 소프트웨어의 전체 혹은 일부분을 다른 소프트웨어 개발이나 유지에 사용하는 것, 개발 시간과 비용을 단축시킬 수 있다.",소프트웨어 개발 방법론,
합성 중심 소프트웨어 재사용,"전자 칩과 같은 소프트웨어 부품, 즉 블록(모듈)을 만들어서 끼워 맞추어 소프트웨어를 완성시키는 방법으로 블록 구성 방법이라고도 함",소프트웨어 개발 방법론,Composition-Based
생성 중심 소프트웨어 재사용,추상화 형태로 쓰여진 명세를 구체화하여 프로그램을 만드는 방법으로 패턴 구성 방법이라고도 함,소프트웨어 개발 방법론,Generation-Based
분석 활동,"기존 소프트웨어의 명세서를 확인하여 소프트웨어의 동작을 이해하고, 재공학할 대상을 선정하는 소프트웨어 재공학 활동",소프트웨어 개발 방법론,Analysis
재구성 활동,기존 소프트웨어의 구조를 향상시키기 위하여 코드를 재구성하는 소프트웨어 재공학 활동,소프트웨어 개발 방법론,Restructuring
역공학 활동,기존 소프트웨어를 분석하여 소프트웨어 개발 과정과 데이터 처리 과정을 설명하는 분석 및 설계 정보를 재발견하거나 다시 만들어 내는 소프트웨어 재공학 활동,소프트웨어 개발 방법론,Reverse Engineering
이식 활동,기존 소프트웨어를 다른 운영체제나 하드웨어 환경에서 사용할 수 있도록 변환하는 소프트웨어 재공학 활동,소프트웨어 개발 방법론,Migration
CASE,"소프트웨어 개발 과정에서 사용되는 요구 분석, 설계, 구현, 검사 및 디버깅 과정 전체 또는 일부를 컴퓨터와 전용 소프트웨어 도구를 사용하여 자동화하는 것, 자동화 도구(CASE Tool)이다. 공통 모듈을 사용할 수 있고, 정형화된 매커니즘을 활용하여 효율성과 유지보수성이 올라간다.",소프트웨어 개발 방법론,Computer Aided Software Engineering
자동화 도구,소프트웨어 공학과 관련된 작업 중에서 하나의 작업을 자동화하는 패키지를 의미함,소프트웨어 개발 방법론,CASE Tool
상위 CASE 도구,"요구 부석, 설계 과정을 지원하는 CASE 도구",소프트웨어 개발 방법론,
하위 CASE 도구,"구현, 테스트 과정을 지원하는 CASE 도구",소프트웨어 개발 방법론,
